,SibSp,LogFare,LogAge,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
709,0.125,0.44670266490621674,0.44670266490621674,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
439,0.0,0.39134423619738523,0.39134423619738523,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
840,0.0,0.3507266966124076,0.3507266966124076,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
720,0.0,0.5650388114700938,0.5650388114700938,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
39,0.125,0.40135896919365455,0.40135896919365455,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
290,0.0,0.7018439158340846,0.7018439158340846,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
300,0.0,0.3475536651219202,0.3475536651219202,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
333,0.25,0.47179586137623153,0.47179586137623153,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
208,0.0,0.3475536651219202,0.3475536651219202,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
136,0.0,0.529773846609256,0.529773846609256,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
137,0.125,0.6394627518675874,0.6394627518675874,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
696,0.0,0.35295528405484916,0.35295528405484916,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
485,0.375,0.5249047780663141,0.5249047780663141,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
244,0.0,0.33763919258513786,0.33763919258513786,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
344,0.0,0.42286368807669106,0.42286368807669106,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
853,0.0,0.5926740533018774,0.5926740533018774,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
621,0.125,0.6378379970302275,0.6378379970302275,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
653,0.0,0.34899747688919597,0.34899747688919597,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
886,0.0,0.42286368807669106,0.42286368807669106,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
110,0.0,0.6361712049470615,0.6361712049470615,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
294,0.0,0.3502016019446998,0.3502016019446998,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
447,0.0,0.5313325505056177,0.5313325505056177,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
192,0.125,0.3494505372759428,0.3494505372759428,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
682,0.0,0.37251505985030076,0.37251505985030076,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
