,SibSp,LogFare,LogAge,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
460,0.0,0.5313325505056177,0.5313325505056177,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
301,0.25,0.5108890946860756,0.5108890946860756,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
385,0.0,0.6907316473431995,0.6907316473431995,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
320,0.0,0.3381254838661527,0.3381254838661527,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
345,0.0,0.42286368807669106,0.42286368807669106,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
163,0.0,0.36344855811683735,0.36344855811683735,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
698,0.125,0.7558914972956428,0.7558914972956428,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
810,0.0,0.3500520309667981,0.3500520309667981,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
440,0.125,0.529578158664277,0.529578158664277,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
179,0.0,0.0,0.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
189,0.0,0.3502016019446998,0.3502016019446998,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
182,0.5,0.5572534209632187,0.5572534209632187,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
268,0.0,0.8075657891202526,0.8075657891202526,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
555,0.0,0.5313325505056177,0.5313325505056177,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
826,0.0,0.6492173620225161,0.6492173620225161,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
322,0.0,0.415246066809403,0.415246066809403,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
274,0.0,0.3475536651219202,0.3475536651219202,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
261,0.5,0.5572534209632187,0.5572534209632187,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
586,0.0,0.44425980422982303,0.44425980422982303,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
597,0.0,0.0,0.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
140,0.0,0.44670266490621674,0.44670266490621674,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
775,0.0,0.3475536651219202,0.3475536651219202,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
13,0.125,0.556695873257052,0.556695873257052,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
34,0.125,0.7083728358165282,0.7083728358165282,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
602,0.0,0.6041514775437852,0.6041514775437852,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
