,Survived
460,1.0
301,1.0
385,0.0
320,0.0
345,1.0
163,0.0
698,0.0
810,0.0
440,1.0
179,0.0
189,0.0
182,0.0
268,1.0
555,0.0
826,0.0
322,1.0
274,1.0
261,1.0
586,0.0
597,0.0
140,0.0
775,0.0
13,0.0
34,0.0
602,0.0
450,0.0
361,0.0
445,1.0
47,1.0
229,0.0
619,0.0
387,1.0
665,0.0
277,0.0
24,0.0
390,1.0
424,0.0
199,0.0
428,0.0
513,1.0
150,0.0
201,0.0
355,0.0
595,0.0
240,0.0
32,1.0
570,1.0
255,1.0
273,0.0
618,1.0
571,1.0
639,0.0
248,1.0
863,0.0
798,0.0
346,1.0
335,0.0
680,0.0
638,0.0
568,0.0
788,1.0
265,0.0
535,1.0
259,1.0
37,0.0
126,0.0
838,1.0
401,0.0
622,1.0
341,1.0
16,0.0
553,1.0
394,1.0
129,0.0
703,0.0
412,1.0
219,0.0
205,0.0
740,1.0
55,1.0
730,1.0
534,0.0
3,1.0
676,0.0
372,0.0
175,0.0
62,0.0
779,1.0
684,0.0
314,0.0
130,0.0
467,0.0
26,0.0
104,0.0
520,1.0
349,0.0
18,0.0
660,1.0
53,1.0
753,0.0
207,1.0
497,0.0
125,1.0
22,1.0
430,1.0
156,1.0
718,0.0
220,1.0
847,0.0
221,0.0
331,0.0
614,0.0
809,1.0
267,1.0
287,0.0
827,1.0
6,0.0
222,0.0
687,0.0
50,0.0
238,0.0
647,1.0
51,0.0
421,0.0
592,0.0
366,1.0
627,1.0
88,1.0
27,0.0
797,1.0
247,1.0
68,1.0
548,0.0
102,0.0
471,0.0
28,1.0
637,0.0
803,1.0
142,1.0
795,0.0
737,1.0
80,0.0
38,0.0
787,0.0
354,0.0
151,1.0
191,0.0
436,0.0
234,0.0
230,1.0
726,1.0
114,0.0
610,0.0
579,1.0
466,0.0
127,1.0
443,1.0
883,0.0
429,1.0
351,0.0
741,0.0
100,0.0
781,1.0
664,1.0
502,0.0
890,0.0
831,1.0
239,0.0
46,0.0
762,1.0
878,0.0
587,1.0
496,1.0
488,0.0
519,0.0
369,1.0
313,0.0
731,0.0
666,0.0
370,1.0
308,0.0
575,0.0
655,0.0
381,1.0
415,0.0
176,0.0
701,1.0
283,1.0
829,1.0
186,1.0
411,0.0
531,0.0
716,1.0
138,0.0
490,0.0
487,0.0
435,1.0
160,0.0
336,0.0
330,1.0
476,0.0
617,0.0
332,0.0
74,1.0
307,1.0
262,0.0
224,1.0
122,0.0
279,1.0
702,0.0
297,0.0
118,0.0
87,0.0
884,0.0
774,1.0
556,1.0
523,1.0
486,1.0
305,1.0
491,0.0
315,1.0
704,0.0
197,0.0
403,0.0
59,0.0
166,1.0
691,1.0
90,0.0
228,0.0
839,1.0
473,1.0
533,1.0
780,1.0
188,0.0
2,1.0
856,1.0
506,1.0
580,1.0
61,1.0
356,1.0
276,0.0
596,1.0
679,1.0
678,0.0
40,0.0
112,0.0
728,0.0
543,1.0
379,0.0
724,1.0
636,0.0
759,1.0
851,0.0
413,0.0
20,0.0
748,0.0
464,0.0
288,1.0
628,0.0
121,0.0
12,0.0
576,1.0
828,1.0
441,0.0
190,1.0
511,0.0
427,1.0
410,0.0
352,0.0
609,1.0
402,0.0
697,1.0
454,0.0
738,0.0
334,1.0
226,1.0
675,0.0
683,0.0
577,1.0
60,0.0
173,0.0
760,0.0
805,0.0
73,0.0
260,0.0
693,0.0
859,0.0
475,0.0
178,0.0
52,1.0
524,0.0
641,1.0
786,1.0
29,0.0
573,1.0
7,0.0
550,1.0
549,1.0
184,1.0
310,1.0
645,1.0
850,0.0
180,0.0
380,1.0
715,0.0
317,0.0
269,1.0
1,1.0
825,0.0
867,0.0
745,0.0
246,0.0
162,0.0
613,0.0
752,0.0
91,0.0
303,1.0
747,1.0
711,0.0
455,1.0
17,1.0
565,0.0
155,0.0
811,0.0
103,0.0
152,0.0
812,0.0
371,0.0
431,1.0
245,0.0
569,1.0
816,0.0
376,1.0
705,0.0
484,1.0
761,0.0
557,0.0
123,1.0
640,0.0
368,1.0
145,0.0
492,0.0
434,0.0
252,0.0
11,1.0
395,0.0
144,0.0
857,1.0
453,1.0
501,0.0
167,0.0
452,0.0
203,0.0
630,1.0
105,0.0
694,0.0
469,1.0
776,0.0
418,0.0
551,0.0
782,0.0
242,0.0
241,1.0
654,0.0
749,0.0
343,0.0
233,1.0
236,0.0
667,0.0
509,1.0
525,0.0
324,0.0
461,0.0
616,0.0
530,1.0
474,0.0
658,0.0
861,0.0
561,0.0
750,1.0
656,0.0
278,0.0
875,1.0
48,0.0
451,0.0
560,0.0
200,0.0
400,1.0
407,1.0
671,0.0
71,0.0
646,0.0
508,0.0
187,1.0
690,1.0
633,0.0
528,0.0
285,0.0
846,0.0
409,0.0
85,1.0
692,1.0
216,1.0
99,0.0
699,0.0
801,1.0
756,0.0
766,0.0
727,1.0
463,0.0
563,0.0
161,1.0
499,0.0
225,0.0
364,0.0
14,0.0
734,0.0
813,0.0
832,0.0
540,1.0
181,0.0
98,1.0
194,1.0
232,0.0
478,0.0
365,0.0
42,0.0
108,0.0
713,0.0
729,0.0
567,0.0
672,0.0
807,0.0
598,0.0
629,0.0
589,0.0
498,0.0
732,0.0
706,1.0
432,1.0
293,0.0
132,0.0
661,0.0
282,0.0
404,0.0
81,1.0
83,0.0
425,0.0
855,1.0
157,0.0
92,0.0
257,1.0
742,1.0
823,1.0
558,1.0
559,1.0
325,1.0
146,1.0
860,0.0
757,0.0
329,1.0
746,0.0
574,0.0
374,0.0
438,0.0
135,0.0
4,0.0
480,0.0
733,0.0
566,0.0
392,0.0
133,1.0
735,0.0
468,0.0
751,1.0
119,0.0
147,0.0
115,0.0
172,1.0
470,0.0
217,0.0
707,1.0
874,1.0
721,0.0
866,1.0
64,0.0
515,0.0
289,1.0
223,0.0
700,1.0
564,0.0
689,1.0
871,1.0
607,1.0
340,1.0
642,0.0
397,0.0
89,0.0
202,0.0
806,0.0
677,1.0
183,1.0
206,0.0
284,0.0
326,0.0
744,1.0
348,1.0
695,0.0
881,0.0
879,1.0
862,1.0
888,0.0
624,0.0
19,1.0
479,1.0
504,1.0
864,0.0
243,0.0
581,1.0
649,1.0
500,0.0
870,0.0
57,0.0
615,1.0
143,0.0
328,1.0
295,0.0
542,0.0
214,0.0
79,1.0
164,0.0
117,0.0
8,1.0
131,0.0
