,SibSp,LogFare,LogAge,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
373,0.0,0.7879131248438109,0.7879131248438109,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
848,0.0,0.5650388114700938,0.5650388114700938,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
593,0.0,0.3475536651219202,0.3475536651219202,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
237,0.0,0.529578158664277,0.529578158664277,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
36,0.0,0.3377209927336551,0.3377209927336551,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
722,0.0,0.42286368807669106,0.42286368807669106,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
256,0.0,0.7025447166880028,0.7025447166880028,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
383,0.125,0.6361712049470615,0.6361712049470615,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
821,0.0,0.36344855811683735,0.36344855811683735,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
253,0.125,0.45491364524217526,0.45491364524217526,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
316,0.125,0.5281013477114938,0.5281013477114938,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
882,0.0,0.3915767533812693,0.3915767533812693,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
456,0.0,0.5313325505056177,0.5313325505056177,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
600,0.25,0.5339286391341468,0.5339286391341468,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
258,0.0,1.0,1.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
719,0.0,0.34801082050793586,0.34801082050793586,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
522,0.0,0.33763919258513786,0.33763919258513786,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
758,0.0,0.35295528405484916,0.35295528405484916,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
107,0.0,0.34801082050793586,0.34801082050793586,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
124,0.0,0.698677405898743,0.698677405898743,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
608,0.125,0.6010920603306373,0.6010920603306373,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
583,0.0,0.5955240228027343,0.5955240228027343,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
35,0.125,0.6361712049470615,0.6361712049470615,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
358,0.0,0.3499023202398945,0.3499023202398945,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
708,0.0,0.8055694580427181,0.8055694580427181,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
21,0.0,0.42286368807669106,0.42286368807669106,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
843,0.0,0.3215127932020503,0.3215127932020503,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
458,0.0,0.39134423619738523,0.39134423619738523,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
318,0.0,0.8189796728879716,0.8189796728879716,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
154,0.0,0.3393347941656439,0.3393347941656439,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
880,0.0,0.5281013477114938,0.5281013477114938,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
264,0.0,0.3475536651219202,0.3475536651219202,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
116,0.0,0.3475536651219202,0.3475536651219202,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
686,0.5,0.5938102861020564,0.5938102861020564,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
94,0.0,0.3381254838661527,0.3381254838661527,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
685,0.125,0.6010920603306373,0.6010920603306373,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
185,0.0,0.6300076429831359,0.6300076429831359,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
601,0.0,0.3502016019446998,0.3502016019446998,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
582,0.0,0.5281013477114938,0.5281013477114938,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
763,0.125,0.7684432068211328,0.7684432068211328,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
754,0.125,0.67132033703852,0.67132033703852,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
784,0.0,0.33419319194156843,0.33419319194156843,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
58,0.125,0.5381641153575258,0.5381641153575258,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
148,0.0,0.5281013477114938,0.5281013477114938,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
717,0.0,0.39134423619738523,0.39134423619738523,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
858,0.0,0.4820708903996448,0.4820708903996448,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
406,0.0,0.3475536651219202,0.3475536651219202,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
489,0.125,0.45302853109775937,0.45302853109775937,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
367,0.0,0.3377209927336551,0.3377209927336551,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
134,0.0,0.42286368807669106,0.42286368807669106,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
